Name,Description,Update
Universidad de Córdoba (España),"La Universidad de Córdoba (UCO) es una institución pública de educación universitaria ubicada en la ciudad de Córdoba, España. Creada en 1972, hunde sus…",8 kB (777 palabras) - 07:02 25 abr 2023
Universidad de Oviedo,"La Universidad de Oviedo es una universidad pública ubicada en la ciudad de Oviedo (Asturias, España), con campus en Oviedo, Gijón y Mieres. Es la única…",22 kB (1862 palabras) - 06:12 26 may 2023
Universidad Nacional de Educación a Distancia,"vinculada administrativamente al Ministerio de Universidades.[4] Es la primera universidad de España por número de alumnos matriculados, con 156.975…",25 kB (2579 palabras) - 14:33 8 jun 2023
Universidad de Granada,"campus en las ciudades de Granada, Ceuta y Melilla. Es la cuarta universidad de España por número de estudiantes, miembro del Grupo Coimbra, de la Asociación…",25 kB (2385 palabras) - 14:34 17 may 2023
Universidad Autónoma de Madrid,"Madrid y fundada en 1968.[2] Se encuentra posicionada como la mejor universidad de España, en particular su Facultad de Derecho seleccionada como #1 por el…",23 kB (2186 palabras) - 15:24 27 may 2023
Universidad de Almagro,"universidad renacentista fundada en la ciudad de Almagro (España), una de las llamadas universidades menores.[1] La fundación de esta institución se debe…",15 kB (1998 palabras) - 18:35 23 may 2023
Universidad de Valladolid,"que la convierte en la tercera universidad más antigua de España, por detrás de la Universidad de Palencia y la Universidad de Salamanca. No obstante, se…",48 kB (5386 palabras) - 12:06 28 dic 2022
Universidad de Salamanca,"ciudades de Zamora, Ávila, Béjar y Villamayor. Es la universidad más antigua en operación de España y del mundo hispánico y la tercera más antigua de Europa…",67 kB (7400 palabras) - 22:04 6 jun 2023
Universidad de Palencia,"Palencia, popularmente conocido como Universidad de Palencia,[1][2] estaba situado en la ciudad de Palencia (España). Este studium generale fue el primer…",9 kB (879 palabras) - 10:25 14 abr 2023
Universidad de Barcelona,Biblioteca de la Universidad Complutense de Madrid.[1] Fue fundada en 1450 y es considerada como una de las universidades más antiguas de España.[2][3][4]…,24 kB (2592 palabras) - 05:57 14 abr 2023
Universidad Politécnica de Madrid,La Universidad Politécnica de Madrid (UPM) es una universidad pública con sede en la Ciudad Universitaria de Madrid (España) y con instalaciones en varias…,21 kB (1741 palabras) - 22:35 5 may 2023
Universidad Francisco de Vitoria,"La Universidad Francisco de Vitoria es una universidad privada ubicada en Pozuelo de Alarcón, Comunidad de Madrid (España).[1] Es una universidad católica…",9 kB (932 palabras) - 17:53 22 ago 2022
Universidad Jaime I,proceso de enseñanza y aprendizaje. La Universidad Jaime I se encuentra entre las primeras universidades de España en la obtención de recursos externos…,6 kB (652 palabras) - 21:20 8 mar 2023
Universidad de Madrid,"Censo-guía de Archivos de España e Iberoamérica. Ministerio de Educación, Cultura y Deporte.  Universidad Central. Universidad Complutense de Madrid - Ciudad…",5 kB (608 palabras) - 13:13 6 jun 2023
Universidad de Sevilla,"La Universidad de Sevilla (US) es una universidad pública con sede en Sevilla, Andalucía (España). Es una de las dos universidades públicas de Sevilla…",28 kB (3055 palabras) - 15:31 7 jun 2023
Universidad Complutense de Madrid,"Docta»[b] es la universidad pública más antigua de Madrid, considerada una de las universidades más importantes y prestigiosas de España y del mundo hispanohablante…",98 kB (10 436 palabras) - 09:08 7 jun 2023
